,Location,Position,LocalTime,Conditions,Temperature,Pressure,Humidity,hour,xcoordloc,ycoordloc
0,Sydney,"-33.86,151.21,39",2017-11-23T17:29:59Z,Rain,7.888624079981298,995,93,17,-33.0,151.0
1,Brisbane,"-27.46,153.02",2017-11-23T17:29:59Z,Very Cold,8.440554812739776,1008,47,17,-27.0,153.0
2,Melbourne,"-37.83,144.98,7",2017-11-23T17:29:59Z,Very Cold,-5.2919317262091,994,12,17,-37.0,144.0
3,Adelaide,"-34.92,138.62,48",2017-11-23T17:29:59Z,Very Cold,1.0561624759374695,992,49,17,-34.0,138.0
4,Perth,"-31.95,115.86",2017-11-23T17:29:59Z,Rain,6.0791581681875755,984,83,17,-31.0,115.0
5,Darwin,"-12.46,130.84",2017-11-23T17:29:59Z,Cold,14.805200339799796,1004,41,17,-12.0,130.0
6,Canberra,"-35.28,149.13",2017-11-23T17:29:59Z,Very Cold,9.14614655983803,1013,65,17,-35.0,149.0
7,GoldCoast,"-28.07,153.44",2017-11-23T17:29:59Z,Very Cold,-0.7921990513441415,986,37,17,-28.0,153.0
8,Hobart,"-42.85,147.29",2017-11-23T17:29:59Z,Very Cold,2.0095623604375987,999,70,17,-42.0,147.0
9,Cairns,"-16.92,145.75",2017-11-23T17:29:59Z,Very Cold,6.295640899210468,1001,8,17,-16.0,145.0
10,Sydney,"-33.86,151.21,39",2017-11-23T18:29:59Z,Very Cold,-0.6080642627142083,989,45,18,-33.0,151.0
11,Brisbane,"-27.46,153.02",2017-11-23T18:29:59Z,Cold,13.034171016042137,1007,80,18,-27.0,153.0
12,Melbourne,"-37.83,144.98,7",2017-11-23T18:29:59Z,Very Cold,8.962234418059381,1016,59,18,-37.0,144.0
13,Adelaide,"-34.92,138.62,48",2017-11-23T18:29:59Z,Very Cold,9.4099220092383,1009,66,18,-34.0,138.0
14,Perth,"-31.95,115.86",2017-11-23T18:29:59Z,Very Cold,6.861456206041396,991,70,18,-31.0,115.0
15,Darwin,"-12.46,130.84",2017-11-23T18:29:59Z,Sunny,22.104072747283055,1017,60,18,-12.0,130.0
16,Canberra,"-35.28,149.13",2017-11-23T18:29:59Z,Very Cold,5.635956093175594,1008,50,18,-35.0,149.0
17,GoldCoast,"-28.07,153.44",2017-11-23T18:29:59Z,Very Cold,-6.453535381873735,983,2,18,-28.0,153.0
18,Hobart,"-42.85,147.29",2017-11-23T18:29:59Z,Very Cold,-1.1555345464309994,1006,29,18,-42.0,147.0
19,Cairns,"-16.92,145.75",2017-11-23T18:29:59Z,Sunny,17.296421470273344,1012,58,18,-16.0,145.0
20,Sydney,"-33.86,151.21,39",2017-11-23T19:29:59Z,Rain,14.769027397008927,1019,81,19,-33.0,151.0
21,Brisbane,"-27.46,153.02",2017-11-23T19:29:59Z,Very Cold,-0.846362957610097,987,27,19,-27.0,153.0
22,Melbourne,"-37.83,144.98,7",2017-11-23T19:29:59Z,Very Cold,-7.169052198110933,988,9,19,-37.0,144.0
23,Adelaide,"-34.92,138.62,48",2017-11-23T19:29:59Z,Rain,4.274949881937687,981,94,19,-34.0,138.0
24,Perth,"-31.95,115.86",2017-11-23T19:29:59Z,Cold,14.646400564201485,1016,64,19,-31.0,115.0
25,Darwin,"-12.46,130.84",2017-11-23T19:29:59Z,Cold,10.217922052108122,992,33,19,-12.0,130.0
26,Canberra,"-35.28,149.13",2017-11-23T19:29:59Z,Very Cold,2.7990891919139926,997,54,19,-35.0,149.0
27,GoldCoast,"-28.07,153.44",2017-11-23T19:29:59Z,Very Cold,-1.7603123999203376,992,12,19,-28.0,153.0
28,Hobart,"-42.85,147.29",2017-11-23T19:29:59Z,Very Cold,6.007261081778381,1011,66,19,-42.0,147.0
29,Cairns,"-16.92,145.75",2017-11-23T19:29:59Z,Cold,10.16216445288643,997,41,19,-16.0,145.0
30,Sydney,"-33.86,151.21,39",2017-11-23T20:29:59Z,Cold,12.261469861034016,1017,66,20,-33.0,151.0
31,Brisbane,"-27.46,153.02",2017-11-23T20:29:59Z,Very Cold,8.499146923480396,996,70,20,-27.0,153.0
32,Melbourne,"-37.83,144.98,7",2017-11-23T20:29:59Z,Rain,2.7659586642363934,984,87,20,-37.0,144.0
33,Adelaide,"-34.92,138.62,48",2017-11-23T20:29:59Z,Rain,8.206125102737246,997,82,20,-34.0,138.0
34,Perth,"-31.95,115.86",2017-11-23T20:29:59Z,Cold,13.021183374147313,1012,60,20,-31.0,115.0
35,Darwin,"-12.46,130.84",2017-11-23T20:29:59Z,Very Cold,9.793471990363457,984,47,20,-12.0,130.0
36,Canberra,"-35.28,149.13",2017-11-23T20:29:59Z,Very Cold,0.9175026378189841,980,79,20,-35.0,149.0
37,GoldCoast,"-28.07,153.44",2017-11-23T20:29:59Z,Cold,11.768275983817432,1019,42,20,-28.0,153.0
38,Hobart,"-42.85,147.29",2017-11-23T20:29:59Z,Rain,5.462518435266816,998,91,20,-42.0,147.0
39,Cairns,"-16.92,145.75",2017-11-23T20:29:59Z,Cold,10.99073571458132,986,71,20,-16.0,145.0
40,Sydney,"-33.86,151.21,39",2017-11-23T21:29:59Z,Very Cold,3.5035105426887867,1006,28,21,-33.0,151.0
41,Brisbane,"-27.46,153.02",2017-11-23T21:29:59Z,Very Cold,-0.31596820160388006,992,15,21,-27.0,153.0
42,Melbourne,"-37.83,144.98,7",2017-11-23T21:29:59Z,Very Cold,0.5305546868094098,998,36,21,-37.0,144.0
43,Adelaide,"-34.92,138.62,48",2017-11-23T21:29:59Z,Very Cold,-3.8623755955527486,982,30,21,-34.0,138.0
44,Perth,"-31.95,115.86",2017-11-23T21:29:59Z,Cold,13.192215264948516,1010,64,21,-31.0,115.0
45,Darwin,"-12.46,130.84",2017-11-23T21:29:59Z,Cold,12.576134277983556,1005,15,21,-12.0,130.0
46,Canberra,"-35.28,149.13",2017-11-23T21:29:59Z,Very Cold,-1.7979923189958527,1001,8,21,-35.0,149.0
