Location,Position,LocalTime,Conditions,Temperature,Pressure,Humidity
Sydney,"-33.86,151.21,39",2017-11-23T17:29:59Z,,,995,93
Brisbane,"-27.46,153.02",2017-11-23T17:29:59Z,,,1008,47
Melbourne,"-37.83,144.98,7",2017-11-23T17:29:59Z,,,994,12
Adelaide,"-34.92,138.62,48",2017-11-23T17:29:59Z,,,992,49
Perth,"-31.95,115.86",2017-11-23T17:29:59Z,,,984,83
Darwin,"-12.46,130.84",2017-11-23T17:29:59Z,,,1004,41
Canberra,"-35.28,149.13",2017-11-23T17:29:59Z,,,1013,65
GoldCoast,"-28.07,153.44",2017-11-23T17:29:59Z,,,986,37
Hobart,"-42.85,147.29",2017-11-23T17:29:59Z,,,999,70
Cairns,"-16.92,145.75",2017-11-23T17:29:59Z,,,1001,8
Sydney,"-33.86,151.21,39",2017-11-23T18:29:59Z,,,989,45
Brisbane,"-27.46,153.02",2017-11-23T18:29:59Z,,,1007,80
Melbourne,"-37.83,144.98,7",2017-11-23T18:29:59Z,,,1016,59
Adelaide,"-34.92,138.62,48",2017-11-23T18:29:59Z,,,1009,66
Perth,"-31.95,115.86",2017-11-23T18:29:59Z,,,991,70
Darwin,"-12.46,130.84",2017-11-23T18:29:59Z,,,1017,60
Canberra,"-35.28,149.13",2017-11-23T18:29:59Z,,,1008,50
GoldCoast,"-28.07,153.44",2017-11-23T18:29:59Z,,,983,2
Hobart,"-42.85,147.29",2017-11-23T18:29:59Z,,,1006,29
Cairns,"-16.92,145.75",2017-11-23T18:29:59Z,,,1012,58
Sydney,"-33.86,151.21,39",2017-11-23T19:29:59Z,,,1019,81
Brisbane,"-27.46,153.02",2017-11-23T19:29:59Z,,,987,27
Melbourne,"-37.83,144.98,7",2017-11-23T19:29:59Z,,,988,9
Adelaide,"-34.92,138.62,48",2017-11-23T19:29:59Z,,,981,94
Perth,"-31.95,115.86",2017-11-23T19:29:59Z,,,1016,64
Darwin,"-12.46,130.84",2017-11-23T19:29:59Z,,,992,33
Canberra,"-35.28,149.13",2017-11-23T19:29:59Z,,,997,54
GoldCoast,"-28.07,153.44",2017-11-23T19:29:59Z,,,992,12
Hobart,"-42.85,147.29",2017-11-23T19:29:59Z,,,1011,66
Cairns,"-16.92,145.75",2017-11-23T19:29:59Z,,,997,41
Sydney,"-33.86,151.21,39",2017-11-23T20:29:59Z,,,1017,66
